"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.388084100E-2,-4.406025410E-1,1.462345123E-1,2.172405720E-1
4.894000800E-2,-4.591803551E-1,1.142473221E-1,3.539817333E-1
5.397532000E-2,-2.165329456E-1,3.118228912E-2,4.461135864E-1
5.906719500E-2,2.461750507E-1,-6.451606750E-3,2.472546101E-1
6.411891400E-2,6.979315281E-1,-4.601478577E-3,-1.027791500E-1
6.917323700E-2,8.706700802E-1,6.182765961E-2,-3.956513405E-1
7.423052900E-2,7.360482216E-1,1.244850159E-1,-4.237856865E-1
7.929443500E-2,4.376034737E-1,1.087942123E-1,-2.654728889E-1
8.434662200E-2,2.089314461E-1,3.099441528E-4,-6.842899323E-2
8.940584100E-2,1.702456474E-1,-8.609485626E-2,-4.432821274E-2
9.446427900E-2,2.278227806E-1,-1.448783875E-1,-7.955861092E-2
9.952276800E-2,2.774567604E-1,-9.924125671E-2,-1.059479713E-1
1.045277160E-1,2.351126671E-1,-8.026027679E-2,-1.531136036E-1
1.096564660E-1,1.369757652E-1,-3.446674347E-2,-1.521599293E-1
1.147162060E-1,-2.468585968E-2,4.654216766E-2,-1.981832981E-1
1.197727160E-1,-4.058408737E-2,2.862358093E-2,-2.256505489E-1
1.248326120E-1,1.086521149E-2,-1.947879791E-2,-2.312526703E-1
1.298662060E-1,4.462528229E-2,-7.819175720E-2,-2.095491886E-1
1.349256850E-1,4.131698608E-2,-1.335411072E-1,-1.962785721E-1
1.399836540E-1,3.228902817E-2,-9.463500977E-2,-2.140748501E-1
1.450663620E-1,-3.479957581E-2,-3.635787964E-2,-1.611404419E-1
1.501257370E-1,-1.097598076E-1,3.385353088E-2,-5.842828751E-2
1.551567790E-1,-1.441636086E-1,2.390670776E-2,1.210236549E-2
1.602161020E-1,-3.799390793E-2,3.329467773E-2,-1.037859917E-2
1.652728200E-1,8.705997467E-2,3.337764740E-2,-4.661369324E-2
1.703311020E-1,1.782059669E-1,5.423831940E-2,-4.559206963E-2
1.753886540E-1,1.791753769E-1,4.438018799E-2,-6.859230995E-2
1.804470390E-1,1.766152382E-1,2.543640137E-2,-2.916455269E-2
1.855047470E-1,1.382002831E-1,-4.172229767E-2,-1.472902298E-2
1.905626640E-1,1.276211739E-1,-6.545162201E-2,-2.416324615E-2
1.956227680E-1,1.184930801E-1,-7.270240784E-2,8.280992508E-3
2.006789660E-1,1.060757637E-1,-9.651756287E-2,-8.972406387E-3
2.057373520E-1,1.229238510E-1,-9.004020691E-2,-6.024932861E-2
2.107966220E-1,9.838628769E-2,-8.197116852E-2,-1.098604202E-1
2.158547990E-1,1.054987907E-1,-9.790611267E-2,-1.297507286E-1
2.209127680E-1,7.088756561E-2,-8.115673065E-2,-1.230792999E-1
2.259738620E-1,1.859188080E-2,-9.765815735E-2,-1.092588902E-1
2.309556330E-1,-7.020854950E-2,-1.183204651E-1,-1.234672070E-1
2.359881850E-1,-1.017570496E-1,-1.289558411E-1,-8.999514580E-2
2.410156330E-1,-3.540897369E-2,-1.368055344E-1,-8.483076096E-2
2.460717790E-1,-3.910112381E-2,-1.021852493E-1,-8.444619179E-2
2.511318310E-1,-1.255745888E-1,-9.491920471E-3,-1.866602898E-2
2.561965700E-1,-1.903672218E-1,1.843643188E-2,1.137719154E-1
2.612472470E-1,-1.027112007E-1,-2.878665924E-2,1.805832386E-1
2.663083410E-1,3.629398346E-2,-2.554416656E-2,7.972025871E-2
2.713866220E-1,1.865363121E-1,-3.165626526E-2,-6.170678139E-2
2.764221430E-1,1.981725693E-1,-5.867385864E-2,-1.402547359E-1
2.814599040E-1,1.302132607E-1,-6.397056580E-2,-1.500861645E-1
2.865369870E-1,5.669021606E-2,-8.787631989E-2,-6.634211540E-2
2.916191220E-1,5.739974976E-2,-1.582489014E-1,-4.546046257E-2
2.966777680E-1,1.077475548E-1,-1.570262909E-1,-6.965565681E-2
3.017330290E-1,1.437149048E-1,-1.537437439E-1,-8.904194832E-2
3.067905810E-1,1.327304840E-1,-1.156091690E-1,-7.532382011E-2
3.118474040E-1,6.148529053E-2,-1.114959717E-1,1.367640495E-2
3.168863100E-1,-3.463745117E-3,-1.148347855E-1,2.403569221E-2
3.219433930E-1,-3.874921799E-2,-7.609748840E-2,-2.876281738E-2
3.270241220E-1,-4.744482040E-2,-1.229095459E-1,-3.086972237E-2
3.320605290E-1,-3.475093842E-2,-1.220808029E-1,2.913236618E-3
3.371193830E-1,-1.990842819E-2,-1.308641434E-1,-1.043319702E-2
3.421755810E-1,4.429197311E-2,-1.184844971E-1,-7.748985291E-2
3.472345910E-1,7.227325439E-2,-1.040458679E-1,-9.165644646E-2
3.522925080E-1,1.379623413E-1,-1.324853897E-1,-7.260608673E-2
3.573495390E-1,1.982622147E-1,-1.300420761E-1,-9.623765945E-2
3.623686540E-1,2.440571785E-1,-9.015941620E-2,-9.372949600E-2
3.673290700E-1,1.644163132E-1,-6.748485565E-2,-8.185195923E-2
3.722879240E-1,9.762287140E-2,-7.818984985E-2,-1.558876038E-2
3.772466740E-1,4.784774780E-2,-1.004829407E-1,3.381252289E-2
3.822050080E-1,2.409887314E-2,-1.081857681E-1,4.778075218E-2
3.871637580E-1,-7.128238678E-3,-7.543087006E-2,-6.510019302E-3
3.921219350E-1,-1.966142654E-2,-6.649208069E-2,-6.699705124E-2
3.970804770E-1,-1.010613441E-1,-6.215667725E-2,-4.397630692E-2
4.020394350E-1,-1.703717709E-1,-7.879066467E-2,-3.768992424E-2
4.069984450E-1,-2.420182228E-1,-7.362651825E-2,8.954524994E-3
4.119566740E-1,-2.782995701E-1,-1.509180069E-1,3.667950630E-2
4.169178200E-1,-2.462587357E-1,-1.608705521E-1,6.439924240E-2
4.218590700E-1,-1.511995792E-1,-1.918506622E-1,2.567124367E-2
4.268574040E-1,-6.221246719E-2,-1.727533340E-1,-1.030945778E-2
4.318162060E-1,1.428794861E-2,-1.634864807E-1,1.283431053E-2
4.367742790E-1,1.613736153E-1,-1.002368927E-1,-2.591037750E-2
4.417342270E-1,2.367191315E-1,-3.344535828E-2,-2.188873291E-2
4.466917790E-1,2.127141953E-1,6.286430359E-2,2.230143547E-2
4.516286020E-1,1.328330040E-1,8.433723450E-2,8.052325249E-2
4.565883410E-1,3.042173386E-2,7.691764832E-2,1.387770176E-1
4.615701120E-1,-6.983757019E-3,5.762386322E-2,1.331927776E-1
4.665055810E-1,-1.087760925E-2,4.561519623E-2,7.591223717E-2
4.714866220E-1,1.617527008E-2,5.426406860E-4,4.065513611E-2
4.764458930E-1,-3.253602982E-2,-7.485485077E-2,4.581189156E-2
4.814057890E-1,-4.026842117E-2,-1.376209259E-1,1.051881313E-1
4.863637060E-1,-1.022653580E-1,-1.760883331E-1,1.308152676E-1
4.913012580E-1,-4.739999771E-2,-1.195831299E-1,8.774900436E-2
4.962838620E-1,2.376747131E-2,-7.817363739E-2,5.741715431E-2
5.012422990E-1,6.847810745E-2,-3.743934631E-2,1.106810570E-2
5.061770910E-1,6.339168549E-2,-1.159191132E-2,-3.221702576E-2
5.111597470E-1,7.063817978E-2,-1.003074646E-2,1.310062408E-2
5.161175600E-1,1.398882866E-1,-8.695411682E-2,-8.099555969E-3
5.210774560E-1,1.094393730E-1,-6.617355347E-2,-3.147792816E-2
5.260366740E-1,8.434391022E-2,-9.545803070E-2,-4.531836510E-2
5.309715700E-1,-9.170055389E-3,-1.078720093E-1,-3.060960770E-2
5.359302680E-1,-5.459165573E-2,-1.248693466E-1,-1.099181175E-2
5.408900600E-1,-6.211853027E-2,-1.487512589E-1,5.410647392E-2
5.458497990E-1,-5.106210709E-2,-1.225948334E-1,1.973867416E-2
5.508072990E-1,-1.194381714E-2,-1.132631302E-1,-4.707026482E-2
5.557824040E-1,-8.940219879E-3,-1.182231903E-1,-1.533172131E-1
5.607503200E-1,-3.917455673E-2,-1.610507965E-1,-9.740090370E-2
5.656841220E-1,-1.144695282E-1,-1.630706787E-1,-3.899812698E-3
5.706427680E-1,-1.325240135E-1,-2.054224014E-1,1.085345745E-1
5.756015700E-1,-1.815831661E-1,-2.213697433E-1,8.802509308E-2
5.805620910E-1,-2.046203613E-1,-2.323837280E-1,1.867532730E-2
5.855206850E-1,-2.088689804E-1,-2.645387650E-1,-8.061099052E-2
5.904784450E-1,-2.087240219E-1,-3.057250977E-1,-9.359443188E-2
5.953904240E-1,-2.160263062E-1,-3.558435440E-1,-6.161999702E-2
6.003963620E-1,-2.187347412E-1,-3.888788223E-1,-5.984067917E-3
6.053556850E-1,-1.910285950E-1,-3.835411072E-1,4.000401497E-2
6.103175600E-1,-2.162103653E-1,-3.521490097E-1,6.266283989E-2
6.152742790E-1,-2.537105083E-1,-2.758569717E-1,2.912688255E-2
6.202330290E-1,-3.011724949E-1,-2.428493500E-1,-7.732868195E-3
6.252149560E-1,-2.730851173E-1,-3.026866913E-1,-4.029262066E-2
